                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.1145,                0.75283,                  1.149,                0.78014,                0.73766,                0.78999,                0.46974,                 1.0521,                 1.3137,                0.99499,               0.005644,               0.005644,               0.005644
                     90,                 1.1102,                0.74134,                  1.146,                0.78153,                0.73827,                0.79087,                0.47002,                  1.052,                 1.3121,                0.99501,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.1188,                0.74963,                 1.1487,                 0.7815,                0.73953,                0.79124,                0.47046,                 1.0528,                 1.3201,                 0.9957,               0.005545,               0.005545,               0.005545
                     92,                 1.1087,                0.74296,                 1.1429,                 0.7837,                0.73844,                0.79156,                0.47045,                 1.0529,                 1.3242,                0.99561,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.1078,                 0.7384,                 1.1398,                0.78212,                0.73805,                0.79134,                 0.4705,                 1.0534,                 1.3275,                0.99572,               0.005446,               0.005446,               0.005446
                     94,                 1.1063,                0.73702,                 1.1403,                0.78135,                0.74101,                0.79081,                0.47046,                 1.0534,                 1.3244,                0.99571,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.0945,                0.72608,                 1.1325,                0.77957,                0.74197,                0.79117,                0.47082,                 1.0535,                 1.3241,                0.99581,               0.005347,               0.005347,               0.005347
                     96,                 1.1034,                0.72977,                 1.1388,                0.77997,                0.74011,                0.79057,                0.47023,                 1.0541,                 1.3279,                0.99591,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.0962,                0.72251,                  1.133,                0.77873,                0.74065,                0.79066,                0.47043,                 1.0547,                 1.3284,                0.99642,               0.005248,               0.005248,               0.005248
                     98,                 1.0916,                0.72101,                 1.1306,                0.78087,                0.73936,                0.79073,                0.47024,                  1.055,                 1.3206,                0.99665,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.0843,                0.71529,                 1.1294,                0.78072,                0.73962,                0.79002,                0.47038,                 1.0558,                 1.3166,                0.99697,               0.005149,               0.005149,               0.005149
                    100,                 1.0895,                0.71645,                 1.1316,                0.78014,                0.74067,                0.79038,                 0.4705,                 1.0553,                 1.3157,                0.99705,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.0896,                0.71305,                 1.1293,                0.77999,                0.74145,                0.79078,                0.47034,                 1.0556,                 1.3117,                0.99741,                0.00505,                0.00505,                0.00505
                    102,                 1.0906,                0.71254,                 1.1281,                0.78092,                0.74088,                0.79146,                 0.4708,                 1.0553,                 1.3086,                0.99727,              0.0050005,              0.0050005,              0.0050005
                    103,                  1.075,                0.70963,                 1.1231,                0.78048,                0.74166,                0.79135,                0.47121,                 1.0555,                 1.3051,                0.99745,               0.004951,               0.004951,               0.004951
                    104,                 1.0814,                0.70407,                 1.1213,                0.77984,                0.74332,                 0.7914,                0.47135,                  1.056,                 1.2991,                0.99762,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.0728,                0.69707,                 1.1197,                0.78199,                0.74318,                0.79181,                0.47111,                 1.0559,                 1.2932,                0.99742,               0.004852,               0.004852,               0.004852
                    106,                   1.06,                0.68816,                 1.1086,                0.78285,                0.74362,                 0.7911,                 0.4709,                 1.0561,                 1.2837,                 0.9977,              0.0048025,              0.0048025,              0.0048025
                    107,                  1.062,                0.69077,                 1.1111,                 0.7836,                0.74514,                0.79106,                0.47089,                 1.0561,                 1.2765,                0.99803,               0.004753,               0.004753,               0.004753
                    108,                 1.0621,                0.68549,                 1.1102,                0.78326,                0.74483,                 0.7903,                0.47063,                 1.0563,                 1.2726,                0.99838,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.0598,                0.68114,                 1.1097,                0.78349,                0.74585,                0.79112,                0.47094,                 1.0569,                 1.2659,                0.99875,               0.004654,               0.004654,               0.004654
                    110,                 1.0626,                0.68491,                 1.1092,                 0.7826,                0.74529,                 0.7905,                0.47091,                 1.0573,                 1.2596,                0.99887,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.0574,                0.67899,                 1.1068,                0.78337,                0.74479,                0.79026,                0.47117,                 1.0582,                 1.2567,                 0.9995,               0.004555,               0.004555,               0.004555
                    112,                 1.0438,                0.66904,                 1.1017,                0.78478,                0.74345,                0.79102,                0.47107,                  1.059,                 1.2538,                0.99982,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.0459,                0.67096,                 1.1007,                0.78531,                 0.7424,                0.79046,                0.47116,                   1.06,                 1.2539,                 1.0008,               0.004456,               0.004456,               0.004456
                    114,                 1.0388,                0.66373,                 1.0984,                0.78651,                 0.7414,                0.79048,                0.47103,                 1.0607,                 1.2505,                 1.0013,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.0346,                0.66572,                 1.0976,                0.78584,                 0.7414,                0.79009,                0.47092,                 1.0615,                 1.2451,                 1.0018,               0.004357,               0.004357,               0.004357
                    116,                 1.0354,                0.65669,                  1.093,                0.78779,                0.74201,                0.79005,                0.47129,                 1.0619,                 1.2376,                 1.0022,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.0289,                0.66072,                 1.0947,                0.78672,                 0.7414,                0.79018,                0.47154,                 1.0624,                  1.231,                 1.0026,               0.004258,               0.004258,               0.004258
                    118,                 1.0306,                0.65821,                 1.0958,                0.78646,                 0.7408,                0.78977,                0.47104,                 1.0634,                 1.2226,                 1.0035,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.0288,                0.65291,                  1.093,                0.78641,                0.74214,                0.79042,                0.47143,                 1.0638,                  1.216,                  1.004,               0.004159,               0.004159,               0.004159
                    120,                 1.0233,                0.64687,                 1.0867,                0.78746,                0.74153,                0.78971,                 0.4715,                 1.0644,                 1.2092,                 1.0047,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.0217,                0.64927,                 1.0888,                0.78917,                0.74101,                0.79049,                0.47166,                 1.0646,                 1.2006,                  1.005,                0.00406,                0.00406,                0.00406
                    122,                 1.0207,                0.64155,                 1.0862,                0.78643,                0.74145,                0.79013,                0.47156,                 1.0646,                 1.1971,                 1.0053,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.0191,                0.64444,                 1.0839,                0.78656,                0.74346,                0.79036,                0.47194,                  1.065,                 1.1911,                 1.0057,               0.003961,               0.003961,               0.003961
                    124,                 1.0073,                0.63746,                 1.0803,                0.78748,                0.74436,                0.79042,                0.47226,                  1.065,                 1.1872,                 1.0059,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.0031,                 0.6294,                 1.0763,                0.78643,                0.74478,                 0.7901,                0.47238,                 1.0653,                 1.1846,                 1.0059,               0.003862,               0.003862,               0.003862
                    126,                 1.0059,                0.63285,                 1.0761,                0.78611,                 0.7447,                0.78982,                0.47189,                 1.0657,                 1.1828,                 1.0059,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.0008,                 0.6268,                 1.0751,                0.78616,                  0.745,                0.78956,                0.47261,                 1.0657,                 1.1824,                 1.0061,               0.003763,               0.003763,               0.003763
                    128,                0.99718,                0.62573,                 1.0751,                0.78695,                 0.7444,                0.78923,                0.47237,                 1.0666,                 1.1763,                 1.0066,              0.0037135,              0.0037135,              0.0037135
                    129,                0.99563,                0.62357,                 1.0734,                0.78436,                0.74479,                0.78882,                0.47221,                 1.0673,                 1.1715,                 1.0073,               0.003664,               0.003664,               0.003664
                    130,                0.98853,                0.62131,                 1.0724,                0.78444,                0.74648,                0.78903,                0.47264,                 1.0679,                 1.1657,                 1.0077,              0.0036145,              0.0036145,              0.0036145
                    131,                0.99537,                 0.6165,                 1.0723,                0.78553,                 0.7452,                0.78901,                 0.4725,                 1.0675,                  1.162,                 1.0076,               0.003565,               0.003565,               0.003565
                    132,                0.97778,                0.61055,                 1.0675,                0.78649,                0.74401,                0.78896,                0.47224,                  1.068,                 1.1532,                 1.0081,              0.0035155,              0.0035155,              0.0035155
                    133,                0.98253,                0.60958,                 1.0651,                0.78743,                0.74424,                0.78856,                0.47244,                 1.0687,                 1.1431,                 1.0081,               0.003466,               0.003466,               0.003466
                    134,                0.97194,                0.60712,                 1.0608,                0.78659,                0.74457,                0.78844,                 0.4723,                 1.0693,                 1.1364,                 1.0088,              0.0034165,              0.0034165,              0.0034165
                    135,                 0.9754,                0.60807,                 1.0662,                0.78534,                0.74506,                0.78789,                0.47206,                 1.0703,                 1.1316,                 1.0094,               0.003367,               0.003367,               0.003367
                    136,                0.97366,                0.60042,                 1.0607,                0.78554,                0.74433,                0.78783,                0.47223,                 1.0708,                 1.1232,                   1.01,              0.0033175,              0.0033175,              0.0033175
                    137,                0.96682,                0.60294,                 1.0557,                 0.7857,                0.74401,                0.78737,                0.47216,                 1.0716,                 1.1181,                 1.0104,               0.003268,               0.003268,               0.003268
                    138,                   0.96,                0.59482,                 1.0566,                0.78637,                0.74303,                0.78674,                0.47221,                 1.0718,                 1.1108,                  1.011,              0.0032185,              0.0032185,              0.0032185
                    139,                0.95832,                0.58917,                 1.0557,                 0.7857,                0.74396,                0.78728,                0.47234,                 1.0731,                 1.1074,                 1.0115,               0.003169,               0.003169,               0.003169
                    140,                0.95421,                0.59474,                 1.0557,                0.78626,                0.74471,                0.78781,                0.47274,                 1.0741,                 1.0981,                 1.0124,              0.0031195,              0.0031195,              0.0031195
                    141,                0.96173,                0.59456,                 1.0535,                0.78655,                0.74388,                0.78745,                0.47262,                 1.0747,                 1.0905,                 1.0128,                0.00307,                0.00307,                0.00307
                    142,                0.94989,                 0.5862,                 1.0504,                0.78691,                0.74288,                  0.787,                0.47267,                 1.0749,                 1.0813,                 1.0131,              0.0030205,              0.0030205,              0.0030205
                    143,                0.95022,                 0.5813,                 1.0476,                0.78724,                0.74286,                0.78695,                0.47266,                 1.0757,                 1.0745,                 1.0135,               0.002971,               0.002971,               0.002971
                    144,                0.94028,                0.57246,                  1.043,                0.78756,                0.74226,                0.78668,                0.47269,                 1.0762,                 1.0659,                 1.0136,              0.0029215,              0.0029215,              0.0029215
                    145,                0.93593,                0.57416,                 1.0437,                0.78623,                0.74193,                 0.7864,                 0.4728,                 1.0767,                 1.0571,                 1.0139,               0.002872,               0.002872,               0.002872
                    146,                0.93246,                0.57221,                 1.0427,                0.78853,                0.74018,                 0.7858,                0.47295,                 1.0776,                 1.0491,                 1.0148,              0.0028225,              0.0028225,              0.0028225
                    147,                0.93377,                0.57268,                 1.0424,                0.79012,                0.73749,                0.78557,                0.47268,                 1.0779,                 1.0432,                 1.0151,               0.002773,               0.002773,               0.002773
                    148,                0.93186,                0.56801,                 1.0378,                0.79117,                 0.7386,                0.78575,                0.47259,                 1.0786,                 1.0371,                 1.0157,              0.0027235,              0.0027235,              0.0027235
                    149,                0.92428,                0.56287,                 1.0374,                0.79025,                0.73766,                0.78499,                 0.4728,                 1.0792,                 1.0301,                 1.0162,               0.002674,               0.002674,               0.002674
                    150,                  0.918,                0.55904,                 1.0332,                0.78998,                0.73905,                0.78564,                0.47265,                 1.0798,                 1.0203,                 1.0168,              0.0026245,              0.0026245,              0.0026245
                    151,                0.92341,                0.56194,                 1.0359,                0.79108,                0.73895,                 0.7853,                0.47235,                 1.0804,                 1.0103,                 1.0171,               0.002575,               0.002575,               0.002575
                    152,                0.92153,                0.55777,                 1.0371,                0.79165,                0.73884,                0.78514,                 0.4723,                 1.0812,                 1.0024,                 1.0177,              0.0025255,              0.0025255,              0.0025255
